Percent Down 90,Avg. Price 90,Percent Down 365,Avg. Price 365,Price Now,Deal found,AMZ link,Keepa Link,Title,last update,last price change,Sales Rank - Reference,Reviews - Rating,Reviews - Review Count,FBA Pick&Pack Fee,Referral Fee %,Tracking since,Categories - Root,Categories - Sub,Categories - Tree,ASIN,Freq. Bought Together,Type,Manufacturer,Brand,Product Group,Variation Attributes,Item Type,Author,Contributors,Binding,Number of Items,Number of Pages,Publication Date,Languages,Package - Quantity,Package Weight,Package Height,Package Length,Package Width,Listed since,Edition,Release Date,Format,Sales Rank - Current,Sales Rank - 30 days avg.,Sales Rank - 60 days avg.,Sales Rank - 90 days avg.,Sales Rank - 180 days avg.,Sales Rank - 365 days avg.,Sales Rank - Lowest,Sales Rank - Lowest 365 days,Sales Rank - Highest,Sales Rank - Highest 365 days,Sales Rank - Drops last 30 days,Sales Rank - Drops last 60 days,Sales Rank - Drops last 90 days,Sales Rank - Drops last 180 days,Sales Rank - Drops last 365 days,Buy Box - Current,Buy Box - 30 days avg.,Buy Box - 60 days avg.,Buy Box - 90 days avg.,Buy Box - 180 days avg.,Buy Box - 365 days avg.,Buy Box - Lowest,Buy Box - Lowest 365 days,Buy Box - Highest,Buy Box - Highest 365 days,Buy Box - 90 days OOS,Buy Box - Stock,Amazon - Current,Amazon - 30 days avg.,Amazon - 60 days avg.,Amazon - 90 days avg.,Amazon - 180 days avg.,Amazon - 365 days avg.,Amazon - Lowest,Amazon - Lowest 365 days,Amazon - Highest,Amazon - Highest 365 days,Amazon - 90 days OOS,Amazon - Stock,New - Current,New - 30 days avg.,New - 60 days avg.,New - 90 days avg.,New - 180 days avg.,New - 365 days avg.,New - Lowest,New - Lowest 365 days,New - Highest,New - Highest 365 days,New - 90 days OOS,New - Stock,"New, 3rd Party FBA - Current","New, 3rd Party FBA - 30 days avg.","New, 3rd Party FBA - 60 days avg.","New, 3rd Party FBA - 90 days avg.","New, 3rd Party FBA - 180 days avg.","New, 3rd Party FBA - 365 days avg.","New, 3rd Party FBA - Lowest","New, 3rd Party FBA - Lowest 365 days","New, 3rd Party FBA - Highest","New, 3rd Party FBA - Highest 365 days","New, 3rd Party FBA - 90 days OOS","New, 3rd Party FBA - Stock","New, 3rd Party FBM - Current","New, 3rd Party FBM - 30 days avg.","New, 3rd Party FBM - 60 days avg.","New, 3rd Party FBM - 90 days avg.","New, 3rd Party FBM - 180 days avg.","New, 3rd Party FBM - 365 days avg.","New, 3rd Party FBM - Lowest","New, 3rd Party FBM - Lowest 365 days","New, 3rd Party FBM - Highest","New, 3rd Party FBM - Highest 365 days","New, 3rd Party FBM - 90 days OOS","New, 3rd Party FBM - Stock",Buy Box Used - Current,Buy Box Used - 30 days avg.,Buy Box Used - 60 days avg.,Buy Box Used - 90 days avg.,Buy Box Used - 180 days avg.,Buy Box Used - 365 days avg.,Buy Box Used - Lowest,Buy Box Used - Lowest 365 days,Buy Box Used - Highest,Buy Box Used - Highest 365 days,Buy Box Used - 90 days OOS,Buy Box Used - Stock,Used - Current,Used - 30 days avg.,Used - 60 days avg.,Used - 90 days avg.,Used - 180 days avg.,Used - 365 days avg.,Used - Lowest,Used - Lowest 365 days,Used - Highest,Used - Highest 365 days,Used - 90 days OOS,Used - Stock,"Used, like new - Current","Used, like new - 30 days avg.","Used, like new - 60 days avg.","Used, like new - 90 days avg.","Used, like new - 180 days avg.","Used, like new - 365 days avg.","Used, like new - Lowest","Used, like new - Lowest 365 days","Used, like new - Highest","Used, like new - Highest 365 days","Used, like new - 90 days OOS","Used, like new - Stock","Used, very good - Current","Used, very good - 30 days avg.","Used, very good - 60 days avg.","Used, very good - 90 days avg.","Used, very good - 180 days avg.","Used, very good - 365 days avg.","Used, very good - Lowest","Used, very good - Lowest 365 days","Used, very good - Highest","Used, very good - Highest 365 days","Used, very good - 90 days OOS","Used, very good - Stock","Used, good - Current","Used, good - 30 days avg.","Used, good - 60 days avg.","Used, good - 90 days avg.","Used, good - 180 days avg.","Used, good - 365 days avg.","Used, good - Lowest","Used, good - Lowest 365 days","Used, good - Highest","Used, good - Highest 365 days","Used, good - 90 days OOS","Used, good - Stock","Used, acceptable - Current","Used, acceptable - 30 days avg.","Used, acceptable - 60 days avg.","Used, acceptable - 90 days avg.","Used, acceptable - 180 days avg.","Used, acceptable - 365 days avg.","Used, acceptable - Lowest","Used, acceptable - Lowest 365 days","Used, acceptable - Highest","Used, acceptable - Highest 365 days","Used, acceptable - 90 days OOS","Used, acceptable - Stock",List Price - Current,List Price - 30 days avg.,List Price - 60 days avg.,List Price - 90 days avg.,List Price - 180 days avg.,List Price - 365 days avg.,List Price - Lowest,List Price - Lowest 365 days,List Price - Highest,List Price - Highest 365 days,List Price - 90 days OOS,List Price - Stock,New Offer Count - Current,New Offer Count - 30 days avg.,New Offer Count - 60 days avg.,New Offer Count - 90 days avg.,New Offer Count - 180 days avg.,New Offer Count - 365 days avg.,Used Offer Count - Current,Used Offer Count - 30 days avg.,Used Offer Count - 60 days avg.,Used Offer Count - 90 days avg.,Used Offer Count - 180 days avg.,Used Offer Count - 365 days avg.
81%,$104.37,55%,$44.51,$20.00,2025-04-18 23:00:00,https://www.amazon.com/dp/1499810695,https://keepa.com/#!product/1-1499810695,WWE Legendary Joke Book,2025-04-21 14:12:00,2025-04-18 20:42:00,https://www.amazon.com/b/?node=283155,-,208,$3.15,15.00%,2022-04-01,Books,"Children's Books, Humor, Jokes & Riddles","Books, Subjects, Children's Books, Humor, Jokes & Riddles","=""1499810695""",-,ABIS_BOOK,BuzzPop,BuzzPop,Book,DROP,Book,BuzzPop,BuzzPop (author),Paperback,1,64,2020,"English (Published), English (Original Language), English ()",0,95,5,193,128,2019-07-14,Illustrated,2020-01-21,Illustrated,-,-,DROP,-,-,698,699,699,"5,939,296","5,939,296",1,DROP,4,10,45,-,-,DROP,-,-,-,$6.99,$6.99,$68011.44,$68011.44,100%,DROP,$6.99,$6.99,$6.99,$6.99,$6.99,$6.99,$6.99,DROP,$59396.84,DROP,0%,DROP,$14.99,$14.98,$14.98,$14.98,$14.98,$14.64,$5.81,$5.81,$69260.04,$69260.04,90%,DROP,-,-,DROP,-,-,-,$30.15,$30.15,$64681.40,$64681.40,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64383.50,$64383.50,-,DROP,$8082.08,$8301.88,$8290.78,$8290.78,$8306.95,$7612.21,$139.76,$139.76,$73461.12,$73461.12,-,DROP,$0.05,$0.05,$0.04,$0.04,$0.03,$0.04,$0.01,$0.01,$63981.12,$63981.12,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64681.40,$64681.40,-,DROP,$0.07,-,DROP,-,-,-,-,-,-,-,-,DROP,$2.08,$2.08,$2.08,$2.08,$2.07,$2.05,$1.29,$1.29,$73868.32,$73868.32,-,DROP,-,699,699,699,699,699,"1,994","1,993","1,993","1,993","1,993","1,993"
81%,$116.00,85%,$141.72,$21.79,2025-04-21 12:40:00,https://www.amazon.com/dp/1440245010,https://keepa.com/#!product/1-1440245010,Gun Digest Book of Modern Gun Values: The Shooter's Guide to Guns 1900 to Present,2025-04-21 14:40:00,2025-04-21 12:40:00,https://www.amazon.com/b/?node=283155,-,60,$6.21,15.00%,2015-07-21,Books,"Crafts, Hobbies & Home, Antiques & Collectibles, Firearms & Weapons, Firearms","Books, Subjects, Crafts, Hobbies & Home, Antiques & Collectibles, Firearms & Weapons, Firearms","=""1440245010""","https://keepa.com/#!product/1-1510726888, https://keepa.com/#!product/1-1936120909",ABIS_BOOK,Gun Digest Books,Gun Digest Books,Book,DROP,Book,"Peterson, Phillip","Peterson, Phillip (author), Johnson, Andrew (author)",Paperback,1,712,2016,"English (Published), English (Original Language), English ()",1,1315,36,274,208,2015-04-13,Eighteenth,-,-,-,-,DROP,-,-,-,"1,872","1,872","3,768,118","3,768,118",1,DROP,4,6,15,-,-,DROP,-,-,-,$33.95,$33.95,$68813.60,$68813.60,100%,DROP,$35.99,$35.99,$35.99,$35.99,$35.99,$35.99,$35.99,DROP,$23938.98,DROP,0%,DROP,-,-,$349.09,$349.09,$349.09,$349.09,$5.96,$5.96,$74769.74,$74769.74,98%,DROP,-,$314.08,$312.61,$312.61,$309.23,$299.38,$62.00,$62.00,$74783.52,$74783.52,19%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$30633.40,$30633.40,-,DROP,$7502.96,$17006.97,$16174.36,$16174.36,$18753.25,$17466.95,$301.29,$301.29,$57730.81,$57730.81,-,DROP,$0.05,$0.04,$0.03,$0.03,$0.03,$0.03,$0.01,$0.01,$35767.86,$35767.86,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,$0.01,$0.01,$0.01,$0.01,-,$0.01,$0.01,$70024.28,$70024.28,-,DROP,$0.05,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.60,$0.59,$0.58,$0.58,$0.58,$0.58,$0.07,$0.07,$75162.56,$75162.56,-,DROP,"3,599","3,599","3,599","3,599","3,599","3,599",-,-,"34,961","34,961","34,961","34,961"
78%,$91.88,59%,$50.01,$20.43,2025-04-21 15:44:00,https://www.amazon.com/dp/0470392991,https://keepa.com/#!product/1-0470392991,Caviar: The Definitive Guide,2025-04-21 15:44:00,2025-04-21 15:44:00,https://www.amazon.com/b/?node=283155,-,10,$6.21,15.00%,2011-04-10,Books,"Cookbooks, Food & Wine, Cooking Education & Reference, Reference","Books, Subjects, Cookbooks, Food & Wine, Cooking Education & Reference, Reference","=""0470392991""","https://keepa.com/#!product/1-1519315198, https://keepa.com/#!product/1-1861896506",ABIS_BOOK,Houghton Mifflin Harcourt,HOUGHTON MIFFLIN HARCOURT,Book,DROP,Book,"Rebeiz-Nielsen, Natalie","Rebeiz-Nielsen, Natalie (author), Boeckmann, Susie (author)",Hardcover,1,160,2000,"English (Published), English (Original Language), English ()",0,970,23,290,226,-,1,2000-10-16,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,2,15,35,-,-,DROP,-,$100.99,$92.90,$48.36,$48.36,$72905.44,$72905.44,100%,DROP,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,$40.00,DROP,$23010.55,DROP,1%,DROP,-,-,DROP,-,$107.51,$81.75,$6.00,$6.00,$57977.08,$57977.08,100%,DROP,-,-,DROP,-,-,-,$11.10,$11.10,$64669.48,$64669.48,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.01,$0.01,$0.01,$23573.99,$23573.99,-,DROP,$7287.06,$21685.77,$19196.29,$19196.29,$16176.79,$14399.27,$813.09,$813.09,$56844.40,$56844.40,-,DROP,$0.09,$0.07,$0.05,$0.05,$0.04,$0.05,$0.01,$0.01,$40605.08,$40605.08,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$35449.56,$35449.56,-,DROP,$0.09,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.10,$0.10,$0.10,$0.10,$0.10,$0.10,$0.01,$0.01,$69679.40,$69679.40,-,DROP,"4,000","4,000","4,000","4,000","4,000","4,000",-,-,-,-,-,"4,457"
78%,$107.96,20%,$30.39,$24.26,2025-04-21 12:44:00,https://www.amazon.com/dp/0553171615,https://keepa.com/#!product/1-0553171615,Jitterbug Perfume,2025-04-21 14:44:00,2025-04-20 14:44:00,https://www.amazon.com/b/?node=283155,-,3468,$3.53,15.00%,2016-11-28,Books,"Literature & Fiction, Contemporary","Books, Subjects, Literature & Fiction, Contemporary","=""0553171615""",-,ABIS_BOOK,Bantam Books,-,Book,DROP,Book,"Robbins, Tom","Robbins, Tom (author)",Paperback,1,-,1985,"English (Published), English (Original Language), English ()",0,399,26,200,128,-,-,-,Import,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,2,2,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,DROP,-,DROP,-,DROP,-,-,DROP,-,-,-,$72.24,$72.24,$48832.04,$48832.04,100%,DROP,-,-,DROP,-,-,-,$44.72,$44.72,$65073.80,$65073.80,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$56427.92,$56427.92,-,DROP,$9366.52,$62818.97,$52204.74,$52204.74,$81440.29,$96261.48,$1224.98,$1224.98,$113176.43,$113176.43,-,DROP,$0.03,$0.02,$0.02,$0.02,$0.02,$0.03,$0.01,$0.01,$41614.62,$41614.62,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$65073.80,$65073.80,-,DROP,$0.03,-,DROP,-,-,-,-,-,-,-,-,DROP,$34.68,$34.51,$34.25,$34.25,$33.94,$33.51,$5.45,$5.45,$75220.04,$75220.04,-,DROP,-,-,-,-,-,-,-,-,-,-,-,-
78%,$116.30,75%,$102.29,$25.69,2025-04-21 13:56:00,https://www.amazon.com/dp/053123035X,https://keepa.com/#!product/1-053123035X,Frederic Chopin (Revised Edition) (Getting to Know the World's Greatest Composers),2025-04-21 13:56:00,2025-04-21 13:56:00,https://www.amazon.com/b/?node=283155,-,83,$3.15,15.00%,2017-10-17,Books,"Children's Books, Biographies, Musical","Books, Subjects, Children's Books, Biographies, Musical","=""053123035X""","https://keepa.com/#!product/1-053122242X, https://keepa.com/#!product/1-0516445413",ABIS_BOOK,Children's Press,Children's Press,Book,DROP,Book,"Venezia, Mike","Venezia, Mike (author), Venezia, Mike (illustrator)",Paperback,1,40,2017,"English (Published), English (Original Language), English ()",1,91,5,236,199,2017-03-07,Revised,2017-09-01,-,-,-,DROP,-,-,794,618,618,"3,572,796","3,572,796",1,DROP,1,4,14,-,-,DROP,-,-,-,$7.95,$7.95,$36563.00,$36563.00,100%,DROP,$7.95,$7.95,$7.95,$7.95,$7.95,$7.94,$7.95,DROP,$35727.96,DROP,0%,DROP,-,-,DROP,-,-,$7.75,$2.00,$2.00,$69560.78,$69560.78,100%,DROP,-,-,DROP,-,-,-,$31.62,$31.62,$64502.00,$64502.00,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.02,$0.01,$0.01,$39538.16,$39538.16,-,DROP,$9800.14,$9793.48,$10368.54,$10368.54,$10377.42,$9570.45,$255.19,$255.19,$41723.04,$41723.04,-,DROP,$0.09,$0.07,$0.06,$0.06,$0.05,$0.04,$0.01,$0.01,$42981.26,$42981.26,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$64502.00,$64502.00,-,DROP,$0.09,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.83,$0.83,$0.83,$0.83,$0.82,$0.81,$0.11,$0.11,$73578.80,$73578.80,-,DROP,-,795,795,795,795,794,-,-,-,-,-,"1,231"
77%,$127.78,61%,$76.04,$29.98,2025-04-17 11:40:00,https://www.amazon.com/dp/0803728905,https://keepa.com/#!product/1-0803728905,The Gillygoofang,2025-04-21 10:08:00,2025-03-20 04:16:00,https://www.amazon.com/b/?node=283155,-,6,$6.21,15.00%,2016-07-26,Books,-,"Books, Subjects","=""0803728905""",-,ABIS_BOOK,Dial,-,Book,DROP,Book,George Mendoza,"George Mendoza (author), Mercer Mayer (illustrator)",Hardcover,1,-,1968,English (Published),0,717,28,232,167,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,4,15,-,-,DROP,-,-,-,$3.25,$3.25,$69147.52,$69147.52,100%,DROP,$3.25,$3.25,$3.25,$3.25,$3.25,$3.25,$3.25,DROP,$29288.20,DROP,0%,DROP,-,-,DROP,-,-,-,$3.25,$3.25,$69147.52,$69147.52,100%,DROP,$98.00,$98.00,$98.00,$98.00,$98.00,$98.00,$14.99,$14.99,$29288.20,$29288.20,0%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,$0.01,$0.01,$30624.80,$30624.80,-,DROP,$4461.53,$36917.64,$35925.75,$35925.75,$30864.52,$28951.20,$1177.55,$1177.55,$60606.74,$60606.74,-,DROP,$0.02,$0.03,$0.03,$0.03,$0.02,$0.02,$0.01,$0.01,$30213.18,$30213.18,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.02,$0.02,$0.02,$0.02,$0.02,$0.02,$0.01,$0.01,$54394.18,$54394.18,-,DROP,$0.04,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.06,$0.06,$0.06,$0.06,$0.06,$0.06,$0.02,$0.02,$63670.76,$63670.76,-,DROP,-,325,325,325,325,325,-,-,-,-,-,-
77%,$100.86,77%,$102.05,$23.41,2025-04-19 16:20:00,https://www.amazon.com/dp/B09SGNVJG5,https://keepa.com/#!product/1-B09SGNVJG5,Undated Bullet Journal and Planner: A Premade Undated Dotted Bullet Journal With Extra Blank Pages,2025-04-21 14:40:00,2025-04-19 15:44:00,https://www.amazon.com/b/?node=283155,-,78,$3.53,15.00%,2022-02-22,Books,"Self-Help, Time Management","Books, Subjects, Self-Help, Time Management","=""B09SGNVJG5""",-,ABIS_BOOK,Independently published,-,Book,DROP,Book,"Dean, Joy","Dean, Joy (author)",Spiral-bound,1,152,2022,"English (Published), English (Original Language), English ()",0,410,14,279,216,2022-02-14,-,-,Notebook,-,-,DROP,-,-,"1,499",990,990,"6,855,694","6,855,694",-,DROP,-,1,3,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$14.98,$14.99,$14.98,$14.98,$14.99,$14.98,$9.99,DROP,$68428.04,DROP,59%,DROP,-,-,DROP,-,$61.87,$43.67,$9.90,$9.90,$72624.52,$72624.52,100%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,$0.02,$0.01,$0.01,$0.01,$64873.88,$64873.88,-,DROP,$13109.19,$13512.15,$13492.35,$13492.35,$13346.57,$12282.82,$163.09,$163.09,$59767.36,$59767.36,-,DROP,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$75206.24,$75206.24,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.01,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.78,$0.78,$0.76,$0.76,$0.74,$0.72,$0.02,$0.02,$74462.64,$74462.64,-,DROP,-,"1,499","1,498","1,498","1,499","1,498",-,-,-,-,-,-
76%,$122.96,24%,$39.22,$30.00,2025-04-16 16:28:00,https://www.amazon.com/dp/0793520517,https://keepa.com/#!product/1-0793520517,k.d. lang - Ingenue (Piano-Vocal-Guitar Series),2025-04-21 07:52:00,2025-04-16 16:28:00,https://www.amazon.com/b/?node=283155,-,4,$3.53,15.00%,2016-04-08,Books,"Arts & Photography, Music, Instruments, Guitar","Books, Subjects, Arts & Photography, Music, Instruments, Guitar","=""0793520517""",-,ABIS_BOOK,Hal Leonard Corporation,-,Book,DROP,Book,"Lang, K D","Lang, K D (author)",Paperback,-,48,1993,"English (Published), English (Original Language), English ()",0,227,5,297,224,-,-,-,-,-,-,DROP,-,-,-,-,-,-,-,1,DROP,1,1,4,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$12.95,$12.95,$12.95,$12.95,$12.95,$12.95,$12.95,DROP,$27708.14,DROP,3%,DROP,-,$190.55,$190.55,$190.55,$190.55,$28.86,$5.00,$5.00,$74937.04,$74937.04,87%,DROP,$6.99,$6.99,$6.99,$6.99,$6.99,$7.61,$6.99,$6.99,$65006.46,$65006.46,1%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,$0.01,DROP,-,-,$0.01,$0.01,$0.01,$28540.44,$28540.44,-,DROP,$12687.07,$39388.71,$43117.44,$43117.44,$42169.03,$37444.14,$1603.78,$1603.78,$75149.16,$75149.16,-,DROP,$0.02,$0.01,$0.01,$0.01,$0.01,$0.02,$0.01,$0.01,$30398.08,$30398.08,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$0.01,$68948.56,$68948.56,-,DROP,$0.03,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.04,$0.04,$0.04,$0.04,$0.04,$0.04,$0.01,$0.01,$56748.64,$56748.64,-,DROP,"1,295","1,295","1,295","1,295","1,295","1,295",-,"18,538","18,538","18,538","18,538","2,992"
76%,$94.18,74%,$86.42,$22.60,2025-04-17 16:40:00,https://www.amazon.com/dp/9633861756,https://keepa.com/#!product/1-9633861756,"How They Lived 2: The Everyday Lives of Hungarian Jews, 1867-1940: Family, Religious, and Social Life, Learning, Military Life, Vacationing, Sports, Charity",2025-04-21 14:48:00,2025-04-17 14:00:00,https://www.amazon.com/b/?node=283155,-,7,$7.55,15.00%,2017-02-12,Books,"History, Europe","Books, Subjects, History, Europe","=""9633861756""",-,ABIS_BOOK,Central European University Press,Central European University Press,Book,DROP,Book,"Koerner, András","Koerner, András (author)",Hardcover,1,270,2016,"English (Published), English (Original Language), English ()",1,1672,28,281,239,2016-05-11,-,-,-,"2,799","8,104","9,780","9,780","9,296","9,128","2,799","2,799","7,445,950","7,445,950",1,DROP,2,2,2,-,-,DROP,-,-,-,-,-,-,-,100%,DROP,$27.99,$68.83,$105.92,$105.92,$100.15,$99.46,$27.99,DROP,$74187.90,DROP,18%,DROP,$27.99,$37.02,$78.04,$78.04,$84.24,$87.13,$27.99,$27.99,$73999.08,$73999.08,0%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,$0.03,$0.03,$0.03,$0.03,$0.03,$0.01,$0.01,$36667.24,$36667.24,-,DROP,$13375.84,$59340.70,$44728.74,$44728.74,$41730.89,$41730.89,$1473.95,$1473.95,$96990.70,$96990.70,-,DROP,$0.04,$0.03,$0.02,$0.02,$0.02,$0.02,$0.01,$0.01,$35579.12,$35579.12,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.07,$0.07,$0.07,$0.07,$0.06,$0.06,$0.01,$0.01,$72885.46,$72885.46,-,DROP,-,"6,883","10,592","10,592","10,015","9,946","4,949","4,854","8,386","8,386","9,709","10,170"
75%,$86.95,35%,$32.94,$21.50,2025-04-21 14:44:00,https://www.amazon.com/dp/0978534417,https://keepa.com/#!product/1-0978534417,Lab Notebook 75 Carbonless Pages Spiral Bound (Copy Page Perforated),2025-04-21 15:46:00,2025-04-17 00:04:00,https://www.amazon.com/b/?node=283155,-,124,$6.21,15.00%,2012-12-16,Books,-,"Books, Subjects","=""0978534417""","https://keepa.com/#!product/1-0321971949, https://keepa.com/#!product/1-B07VF3C2CW",ABIS_BOOK,Barbakam,BARBAKAM,Book,DROP,Book,Barbakam,"Barbakam (author), Barbakam (editor), Barbakam (illustrator), Barbakam (illustrator)",Spiral-bound,1,75,2006,"English (Published), English (Original Language), English ()",0,621,17,282,230,-,2nd,-,-,-,-,DROP,-,-,"2,150","1,164","1,164","5,865,060","5,865,060",-,DROP,-,3,58,-,-,DROP,-,-,-,$15.89,$15.89,$40018.52,$40018.52,100%,DROP,$21.49,$21.49,$21.49,$21.49,$21.50,$21.50,$17.65,DROP,$58701.88,DROP,51%,DROP,-,-,DROP,-,-,$21.50,$2.40,$2.40,$57353.08,$57353.08,96%,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,$0.01,$0.01,$0.01,$23183.56,$23183.56,-,DROP,$8518.86,$8953.59,$8966.77,$8966.77,$8852.35,$6919.30,$29.82,$29.82,$52390.06,$52390.06,-,DROP,$0.02,$0.01,$0.01,$0.01,$0.01,$0.03,$0.01,$0.01,$55327.14,$55327.14,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,-,-,DROP,-,-,-,-,-,-,-,-,DROP,$0.02,-,DROP,-,-,-,-,-,-,-,-,DROP,$1.24,$1.23,$1.23,$1.23,$1.22,$1.20,$0.41,$0.41,$74990.70,$74990.70,-,DROP,"2,150","2,149","2,149","2,149","2,150","2,150",-,-,-,-,-,"2,795"
